year,北京大学,清华大学,浙江大学,上海交通大学,复旦大学,南京大学,中国科学技术大学,哈尔滨工业大学,西安交通大学
2014,,44.27,,,,58.89,,,
2015,,6.59,7.97,,50.66,-1.69,,,19.23
2016,,4.13,17.64,,21.09,1.69,,,-11.61
2017,26.35,28.09,-2.47,19.27,27.42,21.58,,,24.95
2018,-35.1,15.47,2.77,2.92,8.46,17.22,7.78,,14.13
2019,51.4,10.3,24.01,7.9,14.87,-4.59,18.77,,9.67
2020,0.53,4.54,12.74,5.49,8.89,2.27,5.78,,14.73
2021,15.84,2.11,5.53,6.52,3.97,8.95,0.71,,13.36
2022,-0.93,14.13,14.4,16.25,21.14,8.19,83.36,33.46,16.6
2023,1.45,13.48,18.38,29.86,4.16,4.3,3.83,16.18,9.4
2024,9.36,-6.14,6.41,6.19,2.0,24.53,0.38,16.2,10.05
2025,6.51,2.46,7.15,4.58,0.38,4.75,-2.42,16.16,7.46
2026,8.24,2.21,8.56,3.27,8.98,15.33,0.86,14.49,7.27
