year,北京大学,清华大学,浙江大学,上海交通大学,复旦大学,南京大学,中国科学技术大学,哈尔滨工业大学,西安交通大学
2013,,113.77,,,43.19,35.9,,,
2014,,164.14,121.47,,,57.04,,,53.49
2015,,174.95,131.15,,65.07,56.08,,,63.78
2016,153.11,182.17,154.28,118.03,78.8,57.02,,,56.37
2017,193.45,233.35,150.47,140.77,100.41,69.33,53.53,,70.44
2018,125.54,269.45,154.65,144.88,108.9,81.26,57.7,,80.39
2019,190.07,297.21,191.77,156.32,125.09,77.53,68.52,,88.17
2020,191.08,310.72,216.2,164.9,136.21,79.29,72.48,,101.16
2021,221.34,317.28,228.16,175.65,141.62,86.39,73.0,108.03,114.68
2022,219.29,362.11,261.03,204.2,171.55,93.47,133.85,144.18,133.72
2023,222.47,410.93,309.01,265.16,178.69,97.49,138.97,167.5,146.29
2024,243.3,385.69,328.81,281.58,182.26,121.41,139.5,194.63,160.98
2025,259.14,395.18,352.31,294.48,182.95,127.18,136.11,226.09,172.99
2026,280.49,403.93,382.46,304.11,199.39,146.67,137.29,258.84,185.56
