year,北京大学,清华大学,浙江大学,上海交通大学,复旦大学,南京大学,中国科学技术大学,哈尔滨工业大学,西安交通大学
2013,,official_pdf,,,official_pdf,official_pdf,,,
2014,,official_pdf,official_pdf,,,official_pdf,,,official_pdf
2015,,official_pdf,official_pdf,,official_pdf,official_pdf,,,official_pdf
2016,official_pdf,official_pdf,official_pdf,official_html,third_party_ocr_fallback,official_pdf,,,official_pdf
2017,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,,official_pdf
2018,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,,official_pdf
2019,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,,official_pdf
2020,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,,official_pdf
2021,third_party_ocr_fallback,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,third_party_ocr_fallback
2022,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf
2023,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf
2024,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf
2025,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf
2026,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf,official_pdf
