year,北京大学,清华大学,浙江大学,上海交通大学,复旦大学,南京大学,中国科学技术大学,哈尔滨工业大学,西安交通大学
2014,,38.12,41.28,,,17.2964,,,12.35904
2015,,35.529416,46.578,,9.9785,18.2642,,,15.425794
2016,34.252741,43.141674,47.627256,27.783007,,18.164486,,,15.738421
2017,51.181446,62.669673,54.083341,32.425637,29.131822,22.748418,4.4551,,17.492421
2018,1.628517,72.714557,43.2951,32.965881,31.225883,26.12,6.1748,,22.134929
2019,56.991751,78.267001,66.204412,31.0337,35.574292,25.13,6.55,,26.413783
2020,53.029418,84.699653,84.925075,32.9769,43.207643,24.697521,6.035,,34.390263
2021,,88.471249,89.857656,32.752207,46.846618,29.956116,1.6805,41.075815,
2022,56.280184,106.300073,100.893565,51.086194,46.076284,29.423127,59.429596,50.840314,48.850653
2023,60.11,125.208983,128.030506,65.699994,49.418532,33.778879,69.7,64.13569,53.741885
2024,66.423124,103.604969,130.048277,68.19027,51.578895,38.867735,53.633975,73.451934,58.756665
2025,72.236267,103.146613,142.9123,70.840649,50.628531,39.507745,45.447651,75.736928,63.140096
2026,83.021091,106.300251,154.048556,75.206493,54.596193,41.792267,40.0,98.036045,72.23804
