year,北京大学,清华大学,浙江大学,上海交通大学,复旦大学,南京大学,中国科学技术大学,哈尔滨工业大学,西安交通大学
2014,,17.0617,45.28,,,16.7,,,11.9263
2015,,32.8,45.28,,9.95,17.4,,,13.367366
2016,32.86,40.0,68.920948,27.0,,18.779,,,15.489132
2017,47.6018,40.0,42.423197,28.0,25.812076,16.327452,,,17.157378
2018,,53.141921,40.666823,30.0,29.110497,26.3975,,,21.852694
2019,54.298804,53.745772,63.794679,30.0,29.966769,26.6095,,,26.034524
2020,48.852602,80.696361,87.54815,32.0,43.697231,26.93755,,,33.828834
2021,,74.835016,91.760991,32.0,49.436214,32.23497,,32.949463,
2022,55.422884,73.844635,100.992976,47.0,45.64113,31.124392,55.84,44.926605,48.136889
2023,60.030009,81.746621,119.215652,65.0,49.081718,33.778879,63.8989,60.850285,51.369023
2024,61.037416,71.795206,121.589818,65.56,51.464244,42.179394,52.664856,72.683873,62.921137
2025,67.756199,73.637005,128.445171,70.02,53.383269,46.957873,43.398254,84.792965,60.18863
2026,78.263264,71.731972,143.145536,64.92,58.6491,48.413148,38.288321,96.274323,69.163373
