year,北京大学,清华大学,浙江大学,上海交通大学,复旦大学,南京大学,中国科学技术大学,哈尔滨工业大学,西安交通大学
2013,,113.772518,,,43.192003,35.897426,,,
2014,,164.138104,121.473694,,,57.036554,,,53.491293
2015,,174.947829,131.149758,,65.074792,56.075048,,,63.775269
2016,153.112749,182.171592,154.282735,118.030124,,57.019958,,,56.372289
2017,193.453269,233.347645,150.473723,140.773366,100.408676,69.325938,53.534431,,70.439619
2018,125.543167,269.452186,154.645106,144.87757,108.900498,81.262924,57.696846,,80.394564
2019,190.068978,297.208933,191.772564,156.319958,125.091332,77.533977,68.523674,,88.170784
2020,191.080814,310.716472,216.199399,164.900092,136.210057,79.293906,72.484854,,101.162665
2021,,317.283147,228.16228,175.647416,141.620249,86.393547,72.997584,108.030775,
2022,219.286272,362.112315,261.025438,204.198443,171.553314,93.471152,133.84772,144.179197,133.719752
2023,222.465984,410.926656,309.012181,265.164863,178.688309,97.491525,138.973891,167.504383,146.288696
2024,243.29975,385.692317,328.808115,281.576575,182.260527,121.408531,139.495435,194.634487,160.983609
2025,259.135837,395.177127,352.306448,294.477274,182.950699,127.176838,136.1132,226.086683,172.986438
2026,280.492826,403.927363,382.460182,304.114821,199.3865,146.671711,137.287685,258.840616,185.557951
