year,北京大学,清华大学,浙江大学,上海交通大学,复旦大学,南京大学,中国科学技术大学,哈尔滨工业大学,西安交通大学
2013,,113.772518,,,43.192003,35.897426,,,
2014,,147.076404,76.193694,,,40.336554,,,41.564993
2015,,142.147829,85.869758,,55.124792,38.675048,,,50.407903
2016,120.252749,142.171592,85.361787,91.030124,,38.240958,,,40.883157
2017,145.851469,193.347645,108.050526,112.773366,74.5966,52.998486,53.534431,,53.282241
2018,125.543167,216.310265,113.978283,114.87757,79.790001,54.865424,57.696846,,58.54187
2019,135.770174,243.463161,127.977885,126.319958,95.124563,50.924477,68.523674,,62.13626
2020,8.763031,230.020111,128.651249,132.900092,92.512826,52.356356,72.484854,,67.333831
2021,,242.448131,136.401289,143.647416,92.184035,54.158577,72.997584,75.081312,
2022,163.863388,288.26768,160.032462,157.198443,125.912184,62.34676,78.00772,99.252592,85.582863
2023,162.435975,329.180035,189.796529,200.164863,129.606591,63.712646,75.074991,106.654098,94.919673
2024,182.262333,313.897111,207.218297,216.016575,130.796283,79.229137,86.830579,121.950614,98.062472
2025,191.379638,321.540122,223.861277,224.457274,129.56743,80.218965,92.714946,141.293718,112.797808
2026,202.229562,332.195391,239.314646,239.194821,140.7374,98.258563,98.999364,162.566293,116.394578
