institution_name,year,document_type,comparison_budget_total,comparison_metric_code,budget_total,income_total,expense_total,current_year_income_total,current_year_expense_total,fiscal_appropriation_income,general_public_budget_appropriation_income,government_fund_budget_appropriation_income,general_public_budget_fiscal_appropriation,undertaking_income,other_income,non_fiscal_surplus_used,carryover_from_previous_year,carryover_to_next_year,current_year_fiscal_appropriation_expense,education_expense,science_technology_expense,social_security_employment_expense,health_expense,housing_security_expense,resource_exploration_industry_information_expense,energy_conservation_environmental_protection_expense,source_types,source_urls,source_pdfs,metric_codes_available,verified_any,derived_notes
上海交通大学,2016,budget,118.030124,budget_total,118.030124,118.030124,118.030124,90.247117,91.030124,,20.583617,,,48.722,20.7915,,27.783007,27.0,,115.533722,1.785803,,,0.710601,,,official_html,https://gk.sjtu.edu.cn/Phone/View/502,,budget_total; carryover_from_previous_year; carryover_to_next_year; current_year_expense_total; current_year_income_total; education_expense; expense_total; general_public_budget_appropriation_income; housing_security_expense; income_total; other_income; science_technology_expense; undertaking_income,False,
上海交通大学,2017,budget,140.773366,income_total,,140.773366,140.773366,108.347729,112.773366,,30.648129,,,53.1,24.5996,,32.425637,28.0,,107.430638,4.554528,,,0.7882,,,official_pdf,https://gk.sjtu.edu.cn/Assets/userfiles/sys_eb538c1c-65ff-4e82-8e6a-a1ef01127fed/files/gkml/%E4%B8%8A%E6%B5%B7%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%A62017%E5%B9%B4%E5%BA%A6%E9%83%A8%E9%97%A8%E9%A2%84%E7%AE%97.pdf,/Users/adam/projects/statistics/budget_uni/data/raw/official/pdfs/sjtu_2017_budget_10d47c32.pdf,carryover_from_previous_year; carryover_to_next_year; current_year_expense_total; current_year_income_total; education_expense; expense_total; general_public_budget_appropriation_income; housing_security_expense; income_total; other_income; science_technology_expense; undertaking_income,False,
上海交通大学,2018,budget,144.87757,income_total,,144.87757,144.87757,111.911689,114.87757,,32.226029,,,56.5,23.18566,,32.965881,30.0,,110.770743,3.282527,,,0.8043,,,official_pdf,https://gk.sjtu.edu.cn/Assets/userfiles/sys_eb538c1c-65ff-4e82-8e6a-a1ef01127fed/files/20180427/%E4%B8%8A%E6%B5%B7%E4%BA%A4%E9%80%9A%E5%A4%A7%E5%AD%A62018%E5%B9%B4%E5%BA%A6%E9%83%A8%E9%97%A8%E9%A2%84%E7%AE%97.pdf,/Users/adam/projects/statistics/budget_uni/data/raw/official/pdfs/sjtu_2018_budget_57152629.pdf,carryover_from_previous_year; carryover_to_next_year; current_year_expense_total; current_year_income_total; education_expense; expense_total; general_public_budget_appropriation_income; housing_security_expense; income_total; other_income; science_technology_expense; undertaking_income,False,
上海交通大学,2019,budget,156.319958,income_total,,156.319958,156.319958,125.286258,126.319958,,33.401403,,,58.4,33.484855,,31.0337,30.0,,123.640488,1.73387,,,0.9456,,,official_pdf,https://gk.sjtu.edu.cn/Assets/userfiles/sys_eb538c1c-65ff-4e82-8e6a-a1ef01127fed/files/20190425/20190425084935583.pdf,/Users/adam/projects/statistics/budget_uni/data/raw/official/pdfs/sjtu_2019_budget_d3c60817.pdf,carryover_from_previous_year; carryover_to_next_year; current_year_expense_total; current_year_income_total; education_expense; expense_total; general_public_budget_appropriation_income; housing_security_expense; income_total; other_income; science_technology_expense; undertaking_income,False,
上海交通大学,2020,budget,164.900092,income_total,,164.900092,164.900092,131.923192,132.900092,,30.919869,,,66.5,34.503323,,32.9769,32.0,,129.609024,2.341268,,,0.9498,,,official_pdf,https://gk.sjtu.edu.cn/Assets/userfiles/sys_eb538c1c-65ff-4e82-8e6a-a1ef01127fed/files/20200703/20200703102725573.pdf,/Users/adam/projects/statistics/budget_uni/data/raw/official/pdfs/sjtu_2020_budget_9c34f1cf.pdf,carryover_from_previous_year; carryover_to_next_year; current_year_expense_total; current_year_income_total; education_expense; expense_total; general_public_budget_appropriation_income; housing_security_expense; income_total; other_income; science_technology_expense; undertaking_income,False,
上海交通大学,2021,budget,175.647416,income_total,,175.647416,175.647416,142.895209,143.647416,,29.969396,,,80.146,32.779813,,32.752207,32.0,,139.55485,2.49127,,,1.601296,,,official_pdf,https://gk.sjtu.edu.cn/Assets/userfiles/sys_eb538c1c-65ff-4e82-8e6a-a1ef01127fed/files/20210409/20210409085653062.pdf,/Users/adam/projects/statistics/budget_uni/data/raw/official/pdfs/sjtu_2021_budget_3deacf3c.pdf,carryover_from_previous_year; carryover_to_next_year; current_year_expense_total; current_year_income_total; education_expense; expense_total; general_public_budget_appropriation_income; housing_security_expense; income_total; other_income; science_technology_expense; undertaking_income,False,
上海交通大学,2022,budget,204.198443,income_total,,204.198443,204.198443,153.112249,157.198443,,29.462249,,,87.4,36.25,,51.086194,47.0,,151.515945,2.239962,1.79124,,1.651296,,,official_pdf,https://gk.sjtu.edu.cn/Assets/userfiles/sys_eb538c1c-65ff-4e82-8e6a-a1ef01127fed/files/20220421/20220421182159888.pdf,/Users/adam/projects/statistics/budget_uni/data/raw/official/pdfs/sjtu_2022_budget_e5e7f67f.pdf,carryover_from_previous_year; carryover_to_next_year; current_year_expense_total; current_year_income_total; education_expense; expense_total; general_public_budget_appropriation_income; housing_security_expense; income_total; other_income; science_technology_expense; social_security_employment_expense; undertaking_income,False,
上海交通大学,2023,budget,265.164863,income_total,,265.164863,265.164863,179.964285,200.164863,,28.353185,,,99.014,52.5971,19.500584,65.699994,65.0,,191.134572,1.531731,5.19356,,2.305,,,official_pdf,https://gk.sjtu.edu.cn/Assets/userfiles/sys_eb538c1c-65ff-4e82-8e6a-a1ef01127fed/files/20230421/20230421140414884.pdf,/Users/adam/projects/statistics/budget_uni/data/raw/official/pdfs/sjtu_2023_budget_b7a6b4ce.pdf,carryover_from_previous_year; carryover_to_next_year; current_year_expense_total; current_year_income_total; education_expense; expense_total; general_public_budget_appropriation_income; housing_security_expense; income_total; non_fiscal_surplus_used; other_income; science_technology_expense; social_security_employment_expense; undertaking_income,False,
上海交通大学,2024,budget,281.576575,income_total,,281.576575,281.576575,189.099081,216.016575,,30.841081,,,110.163,48.095,24.287224,68.19027,65.56,,204.380963,1.795612,6.04,,3.8,,,official_pdf,https://gk.sjtu.edu.cn/Assets/userfiles/sys_eb538c1c-65ff-4e82-8e6a-a1ef01127fed/files/20240419/20240419134127209.pdf,/Users/adam/projects/statistics/budget_uni/data/raw/official/pdfs/sjtu_2024_budget_2d10684f.pdf,carryover_from_previous_year; carryover_to_next_year; current_year_expense_total; current_year_income_total; education_expense; expense_total; general_public_budget_appropriation_income; housing_security_expense; income_total; non_fiscal_surplus_used; other_income; science_technology_expense; social_security_employment_expense; undertaking_income,False,
上海交通大学,2025,budget,294.477274,income_total,,294.477274,294.477274,199.063503,224.457274,,33.782603,3.8809,,117.93,43.47,24.573122,70.840649,70.02,,211.995878,2.044686,6.42,,3.99671,,,official_pdf,https://gk.sjtu.edu.cn/Assets/userfiles/sys_eb538c1c-65ff-4e82-8e6a-a1ef01127fed/files/20250418/20250418150938996.pdf,/Users/adam/projects/statistics/budget_uni/data/raw/official/pdfs/sjtu_2025_budget_84392401.pdf,carryover_from_previous_year; carryover_to_next_year; current_year_expense_total; current_year_income_total; education_expense; expense_total; general_public_budget_appropriation_income; government_fund_budget_appropriation_income; housing_security_expense; income_total; non_fiscal_surplus_used; other_income; science_technology_expense; social_security_employment_expense; undertaking_income,False,
