year,北京大学,清华大学,浙江大学,上海交通大学,复旦大学,南京大学,中国科学技术大学,哈尔滨工业大学,西安交通大学
2015,,40.679713,26.074958,,23.432992,16.979348,,,19.890175
2016,27.785908,29.909018,,20.583617,,14.495172,,,16.272868
2017,48.834623,50.037282,,30.648129,,24.37972,28.349331,,23.342998
2018,534393.84,50.830597,36.138306,32.226029,,23.923497,25.342046,,25.395435
2019,,54.115549,,33.401403,,25.946677,29.673674,,
2020,,,36.007499,30.919869,,21.404433,31.049854,,
2021,,43.653759,34.102539,29.969396,26.785531,21.208042,33.621984,,
2022,51.711159,57.321395,41.588705,29.462249,27.403113,23.471647,36.091524,31.332133,30.790124
2023,,47.074962,37.042284,28.353185,27.443585,21.969329,31.303891,29.449969,29.410768
2024,,49.756658,,30.841081,29.118419,23.749811,37.33546,29.880906,31.208569
2025,,51.54884,41.588648,33.782603,31.002955,25.18142,40.110049,34.128082,33.581617
2026,57.156581,53.007561,50.816426,38.623126,33.889794,27.400293,46.487685,36.568627,37.18776
