year,北京大学,清华大学,浙江大学,上海交通大学,复旦大学,南京大学,中国科学技术大学,哈尔滨工业大学,西安交通大学
2013,,53.5924,,,18.0213,16.1492,,,
2014,,19.2132,11.1099,,,7.3789,,,4.2846
2015,,21.7193,12.5968,,5.15,4.7445,,,7.2503
2016,42.5766,28.8722,36.5934,20.7915,,2.8945,,,4.247
2017,40.0416,32.82569,12.587646,24.5996,15.790871,3.559,5.0,,5.0042
2018,22.294546,41.393256,13.5478,23.18566,15.905418,9.606,6.0,,5.1042
2019,24.380527,48.410074,19.813077,33.484855,17.717,8.6855,6.0,,3.51329
2020,2821.5506,58.686704,25.88193,34.503323,22.593445,11.073952,7.4,,4.18
2021,,57.822411,28.235368,32.779813,22.0,6.585389,8.0,15.264963,
2022,37.157007,60.5961,27.043168,36.25,25.568641,14.585568,8.4,19.21175,8.5
2023,32.008486,83.189682,46.847791,52.5971,27.259685,14.395609,10.87,21.407147,13.747668
2024,35.234631,69.627054,37.0,48.095,27.772101,14.518536,23.916,24.950228,11.0
2025,30.792372,70.089511,41.0,43.47,30.0,17.664472,21.0,24.254723,13.5
2026,31.201689,71.865892,48.5,43.241,44.88,22.0354,18.0,22.683107,12.124726
