year,北京大学,清华大学,浙江大学,上海交通大学,复旦大学,南京大学,中国科学技术大学,哈尔滨工业大学,西安交通大学
2013,,32.5854,,,11.91,7.2459,,,
2014,,72.7111,44.8,,,15.747,,,21.0
2015,,77.0194,45.9,,21.19,15.992,,,21.209
2016,48.3081,80.2487,47.0183,48.722,,14.6625,,,20.114
2017,53.2048,87.815,50.340425,53.1,28.692832,18.5088,15.73,,24.6
2018,479899.2,103.704976,61.6639,56.5,32.978114,18.5315,20.18,,27.76
2019,50.364918,116.112809,65.665678,58.4,39.0439,17.6468,24.8,,31.0
2020,53.434733,121.15808,69.384895,66.5,42.3151,21.973,25.2,,36.0
2021,,126.495228,75.966717,80.146,42.9881,21.732071,26.5,27.051337,
2022,71.217472,137.198717,91.5,87.4,44.2522,22.562156,26.9,38.895,45.56
2023,71.737295,154.869599,93.6336,99.014,44.3367,26.62063,24.8,50.609785,44.0
2024,78.607231,162.477732,120.0,110.163,49.378,33.204236,22.31,63.449006,53.0
2025,84.40899,166.567405,120.0,117.93,57.8458,34.1195,27.0428,78.69065,59.0
2026,91.904865,166.613561,122.0,129.33,65.3311,35.4826,31.0,90.411137,64.0
