university,document_type,years_have,years_missing,coverage_count,coverage_total
北京大学,budget,2016-2026,2013-2015,11,14
北京大学,final_account,2014-2019、2021-2025,2013、2020、2026,11,14
清华大学,budget,2013-2026,,14,14
清华大学,final_account,,2013-2026,0,14
浙江大学,budget,2014-2026,2013,13,14
浙江大学,final_account,2013-2016,2017-2026,4,14
上海交通大学,budget,2016-2026,2013-2015,11,14
上海交通大学,final_account,,2013-2026,0,14
复旦大学,budget,2013、2015、2017-2026,2014、2016,12,14
复旦大学,final_account,2013-2024,2025-2026,12,14
南京大学,budget,2013-2026,,14,14
南京大学,final_account,,2013-2026,0,14
中国科学技术大学,budget,2017-2026,2013-2016,10,14
中国科学技术大学,final_account,,2013-2026,0,14
哈尔滨工业大学,budget,2021-2026,2013-2020,6,14
哈尔滨工业大学,final_account,,2013-2026,0,14
西安交通大学,budget,2014-2020、2022-2026,2013、2021,12,14
西安交通大学,final_account,2013-2024,2025-2026,12,14
