year,rank,university,budget_original,budget_unit,budget_yi_yuan,source_image,source_url,extraction_method,verified,notes
2016,1,清华大学,182.17亿元,亿元,182.17,2016.jpg,,manual_from_source_image,False,
2016,2,浙江大学,154.28亿元,亿元,154.28,2016.jpg,,manual_from_source_image,False,
2016,3,北京大学,153.11亿元,亿元,153.11,2016.jpg,,manual_from_source_image,False,
2016,4,上海交通大学,118.03亿元,亿元,118.03,2016.jpg,,manual_from_source_image,False,
2016,5,复旦大学,78.80亿元,亿元,78.80,2016.jpg,,manual_from_source_image,False,
2016,6,武汉大学,78.23亿元,亿元,78.23,2016.jpg,,manual_from_source_image,False,
2016,7,山东大学,77.28亿元,亿元,77.28,2016.jpg,,manual_from_source_image,False,
2016,8,中山大学,73.96亿元,亿元,73.96,2016.jpg,,manual_from_source_image,False,
2016,9,华中科技大学,70.47亿元,亿元,70.47,2016.jpg,,manual_from_source_image,False,
2016,10,天津大学,70.31亿元,亿元,70.31,2016.jpg,,manual_from_source_image,False,
2016,11,四川大学,63.25亿元,亿元,63.25,2016.jpg,,manual_from_source_image,False,
2016,12,同济大学,60.07亿元,亿元,60.07,2016.jpg,,manual_from_source_image,False,
2016,13,南京大学,57.02亿元,亿元,57.02,2016.jpg,,manual_from_source_image,False,
2016,14,西安交通大学,56.37亿元,亿元,56.37,2016.jpg,,manual_from_source_image,False,
2016,15,厦门大学,55.79亿元,亿元,55.79,2016.jpg,,manual_from_source_image,False,
2016,16,北京师范大学,53.67亿元,亿元,53.67,2016.jpg,,manual_from_source_image,False,
2016,17,吉林大学,52.19亿元,亿元,52.19,2016.jpg,,manual_from_source_image,False,
2016,18,南开大学,51.81亿元,亿元,51.81,2016.jpg,,manual_from_source_image,False,
2016,19,华南理工大学,51.79亿元,亿元,51.79,2016.jpg,,manual_from_source_image,False,
2016,20,东南大学,51.20亿元,亿元,51.20,2016.jpg,,manual_from_source_image,False,
2016,21,中南大学,50.12亿元,亿元,50.12,2016.jpg,,manual_from_source_image,False,
2016,22,大连理工大学,45.02亿元,亿元,45.02,2016.jpg,,manual_from_source_image,False,
2016,23,中国人民大学,43.55亿元,亿元,43.55,2016.jpg,,manual_from_source_image,False,
2016,24,华东师范大学,42.35亿元,亿元,42.35,2016.jpg,,manual_from_source_image,False,
2016,25,武汉理工大学,41.51亿元,亿元,41.51,2016.jpg,,manual_from_source_image,False,
2016,26,东北大学,40.54亿元,亿元,40.54,2016.jpg,,manual_from_source_image,False,
2016,27,重庆大学,39.60亿元,亿元,39.60,2016.jpg,,manual_from_source_image,False,
2016,28,电子科技大学,37.71亿元,亿元,37.71,2016.jpg,,manual_from_source_image,False,
2016,29,北京交通大学,37.07亿元,亿元,37.07,2016.jpg,,manual_from_source_image,False,已区分2016年度预算数与年度收入合计; 收入合计为23.53亿元
2016,30,中国地质大学（武汉）,34.62亿元,亿元,34.62,2016.jpg,,manual_from_source_image,False,
2016,31,中国矿业大学,33.46亿元,亿元,33.46,2016.jpg,,manual_from_source_image,False,
2016,32,中国石油大学（华东）,33.11亿元,亿元,33.11,2016.jpg,,manual_from_source_image,False,
2016,33,北京科技大学,33.00亿元,亿元,33.00,2016.jpg,,manual_from_source_image,False,
2016,34,中国石油大学（北京）,32.67亿元,亿元,32.67,2016.jpg,,manual_from_source_image,False,
2016,35,兰州大学,32.43亿元,亿元,32.43,2016.jpg,,manual_from_source_image,False,
2016,36,西南大学,32.39亿元,亿元,32.39,2016.jpg,,manual_from_source_image,False,
2016,37,湖南大学,32.03亿元,亿元,32.03,2016.jpg,,manual_from_source_image,False,
2016,38,西南交通大学,30.64亿元,亿元,30.64,2016.jpg,,manual_from_source_image,False,
2016,39,北京化工大学,30.07亿元,亿元,30.07,2016.jpg,,manual_from_source_image,False,
2016,40,西北农林科技大学,29.73亿元,亿元,29.73,2016.jpg,,manual_from_source_image,False,
2016,41,河海大学,28.88亿元,亿元,28.88,2016.jpg,,manual_from_source_image,False,
2016,42,西安电子科技大学,28.28亿元,亿元,28.28,2016.jpg,,manual_from_source_image,False,
2016,43,南京农业大学,27.46亿元,亿元,27.46,2016.jpg,,manual_from_source_image,False,
2016,44,华中农业大学,27.05亿元,亿元,27.05,2016.jpg,,manual_from_source_image,False,
2016,45,华北电力大学,27.00亿元,亿元,27.00,2016.jpg,,manual_from_source_image,False,
2016,46,合肥工业大学,26.63亿元,亿元,26.63,2016.jpg,,manual_from_source_image,False,
2016,47,长安大学,26.53亿元,亿元,26.53,2016.jpg,,manual_from_source_image,False,
2016,48,中国海洋大学,24.74亿元,亿元,24.74,2016.jpg,,manual_from_source_image,False,
2016,49,华中师范大学,24.45亿元,亿元,24.45,2016.jpg,,manual_from_source_image,False,
2016,50,江南大学,23.22亿元,亿元,23.22,2016.jpg,,manual_from_source_image,False,
2016,51,北京邮电大学,22.55亿元,亿元,22.55,2016.jpg,,manual_from_source_image,False,
2016,52,东北师范大学,22.36亿元,亿元,22.36,2016.jpg,,manual_from_source_image,False,
2016,53,中国地质大学（北京）,20.85亿元,亿元,20.85,2016.jpg,,manual_from_source_image,False,
2016,54,中南财经政法大学,20.16亿元,亿元,20.16,2016.jpg,,manual_from_source_image,False,
2016,55,东华大学,19.58亿元,亿元,19.58,2016.jpg,,manual_from_source_image,False,
2016,56,陕西师范大学,17.41亿元,亿元,17.41,2016.jpg,,manual_from_source_image,False,
2016,57,对外经济贸易大学,16.07亿元,亿元,16.07,2016.jpg,,manual_from_source_image,False,
2016,58,北京林业大学,15.67亿元,亿元,15.67,2016.jpg,,manual_from_source_image,False,
2016,59,东北林业大学,14.84亿元,亿元,14.84,2016.jpg,,manual_from_source_image,False,
2016,60,北京中医药大学,14.52亿元,亿元,14.52,2016.jpg,,manual_from_source_image,False,
2016,61,中国药科大学,14.12亿元,亿元,14.12,2016.jpg,,manual_from_source_image,False,
2016,62,上海财经大学,13.16亿元,亿元,13.16,2016.jpg,,manual_from_source_image,False,
2016,63,中国矿业大学（北京）,12.31亿元,亿元,12.31,2016.jpg,,manual_from_source_image,False,
