year,rank,university,annual_budget_yi_yuan,current_year_income_yi_yuan,income_total_yi_yuan,annual_income_total_yi_yuan,annual_expenditure_total_yi_yuan,prior_year_budget_yi_yuan,change_yi_yuan,change_ratio,fiscal_appropriation_income_yi_yuan,fiscal_appropriation_ratio,department,province,source_image,source_url,extraction_method,verified,notes
2016,1,清华大学,182.17,,,139.03,142.17,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,2,浙江大学,154.28,,,106.66,85.36,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,3,北京大学,153.11,,,118.86,120.25,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,4,上海交通大学,118.03,,,90.25,91.03,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,5,复旦大学,78.80,,,46.82,50.55,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,6,武汉大学,78.23,,,51.16,59.68,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,7,山东大学,77.28,,,62.45,63.62,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,8,中山大学,73.96,,,73.96,73.96,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,9,华中科技大学,70.47,,,50.84,54.43,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,10,天津大学,70.31,,,54.07,59.86,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,11,四川大学,63.25,,,45.65,48.25,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,12,同济大学,60.07,,,40.85,44.00,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,13,南京大学,57.02,,,32.18,38.24,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,14,西安交通大学,56.37,,,40.63,40.88,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,15,厦门大学,55.79,,,45.67,48.29,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,16,北京师范大学,53.67,,,35.72,53.67,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,17,吉林大学,52.19,,,50.62,52.19,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,18,南开大学,51.81,,,45.72,45.81,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,19,华南理工大学,51.79,,,37.00,37.29,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,20,东南大学,51.20,,,32.82,33.20,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,21,中南大学,50.12,,,38.89,40.12,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,22,大连理工大学,45.02,,,30.29,32.76,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,23,中国人民大学,43.55,,,33.78,37.84,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
2016,24,华东师范大学,42.35,,,33.08,34.02,,,,,,,,2016.jpg,,manual_from_source_image,False,2016原表含年度预算数、年度收入合计、年度支出合计; 主表budget_yi_yuan取年度预算数
