year,rank,university,budget_original,budget_unit,budget_yi_yuan,source_image,source_url,extraction_method,verified,notes,group
2016,1,清华大学,182.17亿元,亿元,182.17,2016.jpg,,manual_from_source_image,False,,985
2016,2,浙江大学,154.28亿元,亿元,154.28,2016.jpg,,manual_from_source_image,False,,985
2016,3,北京大学,153.11亿元,亿元,153.11,2016.jpg,,manual_from_source_image,False,,985
2016,4,上海交通大学,118.03亿元,亿元,118.03,2016.jpg,,manual_from_source_image,False,,985
2016,5,复旦大学,78.80亿元,亿元,78.8,2016.jpg,,manual_from_source_image,False,,985
2016,6,武汉大学,78.23亿元,亿元,78.23,2016.jpg,,manual_from_source_image,False,,985
2016,7,山东大学,77.28亿元,亿元,77.28,2016.jpg,,manual_from_source_image,False,,985
2016,8,中山大学,73.96亿元,亿元,73.96,2016.jpg,,manual_from_source_image,False,,985
2016,9,华中科技大学,70.47亿元,亿元,70.47,2016.jpg,,manual_from_source_image,False,,985
2016,10,天津大学,70.31亿元,亿元,70.31,2016.jpg,,manual_from_source_image,False,,985
2016,11,四川大学,63.25亿元,亿元,63.25,2016.jpg,,manual_from_source_image,False,,985
2016,12,同济大学,60.07亿元,亿元,60.07,2016.jpg,,manual_from_source_image,False,,985
2016,13,南京大学,57.02亿元,亿元,57.02,2016.jpg,,manual_from_source_image,False,,985
2016,14,西安交通大学,56.37亿元,亿元,56.37,2016.jpg,,manual_from_source_image,False,,985
2016,15,厦门大学,55.79亿元,亿元,55.79,2016.jpg,,manual_from_source_image,False,,985
2016,16,北京师范大学,53.67亿元,亿元,53.67,2016.jpg,,manual_from_source_image,False,,985
2016,17,吉林大学,52.19亿元,亿元,52.19,2016.jpg,,manual_from_source_image,False,,985
2016,18,南开大学,51.81亿元,亿元,51.81,2016.jpg,,manual_from_source_image,False,,985
2016,19,华南理工大学,51.79亿元,亿元,51.79,2016.jpg,,manual_from_source_image,False,,985
2016,20,东南大学,51.20亿元,亿元,51.2,2016.jpg,,manual_from_source_image,False,,985
2016,21,中南大学,50.12亿元,亿元,50.12,2016.jpg,,manual_from_source_image,False,,985
2016,22,大连理工大学,45.02亿元,亿元,45.02,2016.jpg,,manual_from_source_image,False,,985
2016,23,中国人民大学,43.55亿元,亿元,43.55,2016.jpg,,manual_from_source_image,False,,985
2016,24,华东师范大学,42.35亿元,亿元,42.35,2016.jpg,,manual_from_source_image,False,,985
2016,26,东北大学,40.54亿元,亿元,40.54,2016.jpg,,manual_from_source_image,False,,985
2016,27,重庆大学,39.60亿元,亿元,39.6,2016.jpg,,manual_from_source_image,False,,985
2016,28,电子科技大学,37.71亿元,亿元,37.71,2016.jpg,,manual_from_source_image,False,,985
2016,35,兰州大学,32.43亿元,亿元,32.43,2016.jpg,,manual_from_source_image,False,,985
2016,37,湖南大学,32.03亿元,亿元,32.03,2016.jpg,,manual_from_source_image,False,,985
2016,40,西北农林科技大学,29.73亿元,亿元,29.73,2016.jpg,,manual_from_source_image,False,,985
2016,48,中国海洋大学,24.74亿元,亿元,24.74,2016.jpg,,manual_from_source_image,False,,985
2017,1,清华大学,233.35亿元,亿元,233.35,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,,985
2017,2,北京大学,193.45亿元,亿元,193.45,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,,985
2017,3,浙江大学,150.47亿元,亿元,150.47,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,,985
2017,4,上海交通大学,140.77亿元,亿元,140.77,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,,985
2017,5,中山大学,116.41亿元,亿元,116.41,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,,985
2017,6,天津大学,113.49亿元,亿元,113.49,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,,985
2017,7,复旦大学,100.41亿元,亿元,100.41,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,,985
2017,8,吉林大学,87.96亿元,亿元,87.96,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,,985
2017,9,武汉大学,87.49亿元,亿元,87.49,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,,985
2017,10,华中科技大学,84.22亿元,亿元,84.22,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,,985
2017,11,山东大学,79.90亿元,亿元,79.9,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,,985
2017,12,同济大学,76.65亿元,亿元,76.65,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,,985
2017,13,四川大学,76.25亿元,亿元,76.25,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,,985
2017,14,厦门大学,71.84亿元,亿元,71.84,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,,985
2017,15,西安交通大学,70.44亿元,亿元,70.44,2017.png,https://www.edu.cn/ke_yan_yu_fa_zhan/gao_xiao_cheng_guo/gao_xiao_zi_xun/201808/t20180813_1620842.shtml,paddleocr_strip,False,,985
